city,city_gdp,city_population,country,emission,emission_target,target,baseline_year,year,year_status,factors,sector
Melbourne,,,Australia,4934000.0,2020,100.0,2008,2017,,,Total
Miami,,,USA,,2020,25.0,2006,2017,,,
Minneapolis,,,USA,5173279.0,2050,80.0,2006,2017,,,Total
New Orleans,,,USA,3606199.0,2030,50.0,2014,2017,,,Total
North Vancouver,,,Canada,207530.0,2050,50.0,2007,2017,,,Total
"Northampton, MA",,,USA,,2020,30.0,2000,2017,,,Total
Oakland,,,USA,2992735.0,2020,36.0,2005,2017,,,Total
Oslo,,,Norway,320000.0,2020,100.0,1990,2017,,,Buildings
Ottawa,,,Canada,5420000.0,2050,80.0,2012,2017,,,Total
Palo Alto,,,USA,765920.0,2030,80.0,1990,2017,,,Total
Parañaque,,,Philippines,,,,,2017,,,
Paris,,,France,6259429.0,2030,40.0,2004,2017,,,Buildings
"Park City, UT",,,USA,16698.0,2032,100.0,"",2017,,,Total
Philadelphia,,,USA,21.1,2050,80.0,2006,2017,,,Total
"Piedmont, CA",,,USA,,2020,15.0,2005,2017,,,
Pittsburgh,,,USA,,2030,50.0,2003,2017,,,Transport
Podgorica,,,Montenegro,5.0,2020,20.0,2008,2017,,,Other: Public lighting
"Port Allen, LA",,,USA,,,,,2017,,,
"Portland, OR",,,USA,8989869.0,2050,80.0,1990,2017,,,Total
Porto,,,Portugal,1300000.0,2020,45.0,2004,2017,,,Total
"Prince George, BC",,,Canada,660300.0,2012,2.0,2002,2017,,,Total
Providence,,,USA,2652837.0,2050,100.0,2010,2017,,,Total
Reykjavík,,,Iceland,,2050,73.0,2007,2017,,,
"Richmond, CA",,,USA,,2050,80.0,1990,2017,,,
"Richmond, VA",,,USA,,2050,80.0,2008,2017,,,
Roanoke,,,USA,,,,,2017,,,
Rochester,,,USA,1900000.0,2030,40.0,2010,2017,,,Total
Sacramento,,,USA,,2050,83.0,2005,2017,,,
San Diego,,,USA,12984993.0,2035,,2010,2017,,,
San Francisco,,,USA,6201949.0,2017,25.0,1990,2017,,,Total
San José,,,USA,,,,,2017,,,
"San Leandro, CA",,,USA,675800.0,2020,25.0,2005,2017,,,Total
"Santa Cruz, CA",,,USA,427280.0,2050,80.0,1990,2017,,,Total
Santa Monica,,,USA,1386640.0,2050,80.0,1990,2017,,,Total
